Executing Case 1: Running Model Training with all context and all criteria
CCPM - RMSE: 1.1406, MAE: 0.9081, Time: 22.20s, CPU: 0.10%, Memory: 624.71MB
DCN - RMSE: 0.8142, MAE: 0.6305, Time: 11.50s, CPU: 0.00%, Memory: 7.92MB
DeepFM - RMSE: 0.8170, MAE: 0.6338, Time: 10.97s, CPU: 0.20%, Memory: 9.82MB
DIFM - RMSE: 1.2074, MAE: 0.9636, Time: 15.32s, CPU: 0.00%, Memory: 13.61MB
FiBiNET - RMSE: 0.8774, MAE: 0.6694, Time: 24.07s, CPU: 0.00%, Memory: 18.05MB
NFM - RMSE: 0.8631, MAE: 0.6607, Time: 11.17s, CPU: 0.00%, Memory: 3.66MB
ONN - RMSE: 1.1196, MAE: 0.8307, Time: 23.63s, CPU: 0.00%, Memory: 3.80MB
PNN - RMSE: 0.8814, MAE: 0.6573, Time: 9.65s, CPU: -0.30%, Memory: 5.53MB
WDL - RMSE: 0.8164, MAE: 0.6328, Time: 11.99s, CPU: 0.00%, Memory: 5.75MB
xDeepFM - RMSE: 0.8125, MAE: 0.6305, Time: 14.26s, CPU: -0.30%, Memory: 43.38MB
IFM - RMSE: 1.1851, MAE: 0.9406, Time: 10.65s, CPU: 0.00%, Memory: 9.94MB
MLR - RMSE: 0.8971, MAE: 0.7302, Time: 18.16s, CPU: -0.10%, Memory: 3.12MB
MultiHeadAttentionModel - RMSE: 0.8277, MAE: 0.5928, Time: 14.71s, CPU: 0.20%, Memory: 4.89MB
==============================================================================================

Executing Case 9: Running Prediction with single criteria: GroupData, with single context: class
AFM - RMSE: 1.0563, MAE: 0.8849, Time: 27.86s, CPU: -0.10%, Memory: 2185.52MB
AutoInt - RMSE: 0.8551, MAE: 0.6662, Time: 14.04s, CPU: 0.10%, Memory: 0.30MB
CCPM - RMSE: 1.1506, MAE: 0.9137, Time: 17.74s, CPU: 0.20%, Memory: 627.45MB
DCN - RMSE: 0.8452, MAE: 0.6544, Time: 11.07s, CPU: 0.00%, Memory: 0.14MB
DeepFM - RMSE: 0.8498, MAE: 0.6576, Time: 10.57s, CPU: 0.20%, Memory: 0.00MB
DIFM - RMSE: 1.2208, MAE: 0.9753, Time: 13.40s, CPU: -0.10%, Memory: 0.00MB
FiBiNET - RMSE: 0.9024, MAE: 0.6893, Time: 17.71s, CPU: 0.10%, Memory: 0.00MB
NFM - RMSE: 0.8915, MAE: 0.6843, Time: 11.70s, CPU: 0.00%, Memory: 0.00MB
ONN - RMSE: 1.1934, MAE: 0.8830, Time: 21.28s, CPU: 0.00%, Memory: 0.53MB
PNN - RMSE: 0.9096, MAE: 0.6871, Time: 10.11s, CPU: 0.10%, Memory: 0.00MB
WDL - RMSE: 0.8487, MAE: 0.6561, Time: 10.33s, CPU: 0.00%, Memory: 0.00MB
xDeepFM - RMSE: 0.8397, MAE: 0.6500, Time: 13.09s, CPU: 0.00%, Memory: 22.60MB
IFM - RMSE: 1.1937, MAE: 0.9464, Time: 12.90s, CPU: 0.10%, Memory: 0.00MB
MLR - RMSE: 0.9273, MAE: 0.7498, Time: 20.41s, CPU: 0.00%, Memory: 0.00MB
MultiHeadAttentionModel - RMSE: 0.9150, MAE: 0.6557, Time: 16.01s, CPU: 0.10%, Memory: 0.00MB

==============================================================================================
Executing Case 10: Running Prediction with single criteria: GroupEase, with single context: class
AFM - RMSE: 1.0775, MAE: 0.9018, Time: 29.18s, CPU: -0.10%, Memory: 2187.45MB
AutoInt - RMSE: 0.8898, MAE: 0.6962, Time: 14.85s, CPU: 0.00%, Memory: 2.27MB
CCPM - RMSE: 1.1737, MAE: 0.9303, Time: 20.97s, CPU: 0.00%, Memory: 608.28MB
DCN - RMSE: 0.8822, MAE: 0.6870, Time: 12.90s, CPU: 0.00%, Memory: 0.36MB
DeepFM - RMSE: 0.8851, MAE: 0.6883, Time: 10.98s, CPU: 0.00%, Memory: 0.00MB
DIFM - RMSE: 1.2409, MAE: 0.9882, Time: 13.63s, CPU: 0.10%, Memory: 0.00MB
FiBiNET - RMSE: 0.9493, MAE: 0.7321, Time: 17.40s, CPU: 0.00%, Memory: 0.26MB
NFM - RMSE: 0.9322, MAE: 0.7133, Time: 10.67s, CPU: 0.10%, Memory: 0.09MB
ONN - RMSE: 1.2205, MAE: 0.9036, Time: 23.43s, CPU: 0.10%, Memory: 0.88MB
PNN - RMSE: 0.9559, MAE: 0.7266, Time: 9.81s, CPU: 0.10%, Memory: 0.00MB
WDL - RMSE: 0.8843, MAE: 0.6875, Time: 9.76s, CPU: 0.00%, Memory: 0.00MB
xDeepFM - RMSE: 0.8790, MAE: 0.6829, Time: 12.06s, CPU: 0.10%, Memory: 36.88MB
IFM - RMSE: 1.2215, MAE: 0.9685, Time: 12.01s, CPU: -0.10%, Memory: 3.65MB
